prompt_len,response_len,quality_ratio,error
486,283,0.5823045267489712,
435,309,0.7103448275862069,
275,288,1.0472727272727274,
300,286,0.9533333333333334,
308,308,1.0,
307,269,0.8762214983713354,
124,299,2.411290322580645,
408,259,0.6348039215686274,
109,264,2.4220183486238533,
261,298,1.1417624521072798,
372,245,0.6586021505376344,
213,301,1.4131455399061033,
272,234,0.8602941176470589,
126,332,2.634920634920635,
354,311,0.8785310734463276,
490,290,0.5918367346938775,
364,273,0.75,
398,304,0.7638190954773869,
150,272,1.8133333333333332,
374,248,0.6631016042780749,
356,288,0.8089887640449438,
285,237,0.8315789473684211,
333,291,0.8738738738738738,
192,312,1.625,
227,283,1.2466960352422907,
441,264,0.5986394557823129,
453,180,0.3973509933774834,
372,257,0.6908602150537635,
458,267,0.5829694323144105,
382,262,0.6858638743455497,
