k,prompt,ttft_ms,e2e_ms,tpot_ms,tokens,acceptance_rate,speedup_ratio,error,draft_model
1,The French Revolution began in 1789 and fundamentally changed,489.25,10207.54,212.66,48,0.917,0.14,,Q2_K
1,Distributed training splits computation across multiple devices to,349.43,13711.73,214.25,64,0.656,0.139,,Q2_K
1,"Thread affinity pins threads to specific CPU cores, which",486.34,6648.02,207.75,32,0.875,0.144,,Q2_K
1,"The Battle of Waterloo was fought on 18 June 1815, marking",376.35,14144.66,221.01,64,0.906,0.135,,Q2_K
1,Neural networks consist of layers of interconnected nodes that,349.05,6566.23,205.19,32,0.812,0.145,,Q2_K
1,"The internet protocol suite, commonly known as TCP/IP,",352.52,6597.07,206.16,32,0.688,0.145,,Q2_K
1,Speculative decoding works by using a smaller draft model to,348.12,13847.35,216.36,64,0.812,0.138,,Q2_K
1,Continuous batching allows the server to add new requests to,347.99,6587.09,205.85,32,0.75,0.145,,Q2_K
1,Inference latency is affected by both the prefill phase and,486.57,10177.57,212.03,48,1.0,0.141,,Q2_K
1,The attention mechanism computes a weighted sum of values based on,486.29,6643.46,207.61,32,0.938,0.144,,Q2_K
1,Memory efficiency in large language models is critical because,345.44,6494.7,202.96,32,0.688,0.147,,Q2_K
1,The NUMA architecture affects memory access latency because,347.59,6568.68,205.27,32,0.812,0.145,,Q2_K
1,The transformer architecture was introduced in 2017 and has since,490.36,10156.25,211.59,48,0.792,0.141,,Q2_K
1,Continuous batching allows the server to add new requests to,349.12,10091.85,210.25,48,0.875,0.142,,Q2_K
1,Speculative decoding works by using a smaller draft model to,347.81,10089.03,210.19,48,0.917,0.142,,Q2_K
1,Photosynthesis is the process by which plants convert light energy into,490.11,13981.73,218.46,64,0.875,0.137,,Q2_K
1,"The Battle of Waterloo was fought on 18 June 1815, marking",376.04,10103.43,210.49,48,0.958,0.142,,Q2_K
1,"When a user types in an AI-assisted editor, the system must",489.71,6591.66,205.99,32,0.875,0.145,,Q2_K
1,Reinforcement learning is a type of machine learning in which,485.83,10174.84,211.98,48,0.875,0.141,,Q2_K
1,The time-to-first-token metric measures how long it takes before,489.73,10155.04,211.56,48,0.667,0.141,,Q2_K
